COUNTY,FIPS,DATE,PRCP
Amelia County,51007,2020-03-17,0.0
Amelia County,51007,2020-03-18,0.0
Amelia County,51007,2020-03-19,0.095
Amelia County,51007,2020-03-20,0.0
Amelia County,51007,2020-03-21,0.14500000000000002
Amelia County,51007,2020-03-22,0.0
Amelia County,51007,2020-03-23,0.675
Amelia County,51007,2020-03-24,0.07
Amelia County,51007,2020-03-25,0.385
Amelia County,51007,2020-03-26,0.05
Amelia County,51007,2020-03-27,0.0
Amelia County,51007,2020-03-28,0.16
Amelia County,51007,2020-03-29,0.0
Amelia County,51007,2020-03-30,0.0
Amelia County,51007,2020-03-31,0.0
Amelia County,51007,2020-04-01,0.285
Amelia County,51007,2020-04-02,0.0
Amelia County,51007,2020-04-03,0.0
Amelia County,51007,2020-04-04,0.0
Amelia County,51007,2020-04-05,0.0
Amelia County,51007,2020-04-06,0.0
Amelia County,51007,2020-04-07,0.12
Amelia County,51007,2020-04-08,0.0
Amelia County,51007,2020-04-09,0.16
Amelia County,51007,2020-04-10,0.0
Amelia County,51007,2020-04-11,0.0
Amelia County,51007,2020-04-12,0.0
Amelia County,51007,2020-04-13,0.61
Amelia County,51007,2020-04-14,0.015
Amelia County,51007,2020-04-15,0.175
Amelia County,51007,2020-04-16,0.0
Amelia County,51007,2020-04-17,0.0
Amelia County,51007,2020-04-18,0.0
Amelia County,51007,2020-04-19,0.015
Amelia County,51007,2020-04-20,0.18
Amelia County,51007,2020-04-21,0.23
Amelia County,51007,2020-04-22,0.0
Amelia County,51007,2020-04-23,0.0
Amelia County,51007,2020-04-24,0.5
Amelia County,51007,2020-04-25,0.06
Amelia County,51007,2020-04-26,0.55
Amelia County,51007,2020-04-27,0.060000000000000005
Amelia County,51007,2020-04-28,0.0
Amelia County,51007,2020-04-29,0.0
Amelia County,51007,2020-04-30,0.7549999999999999
Amelia County,51007,2020-05-01,0.405
Amelia County,51007,2020-05-02,0.0
Amelia County,51007,2020-05-03,0.0
Amelia County,51007,2020-05-04,0.0
Amelia County,51007,2020-05-05,0.0
Amelia County,51007,2020-05-06,0.045
Amelia County,51007,2020-05-07,0.0
Amelia County,51007,2020-05-08,0.0
Amelia County,51007,2020-05-09,0.05
Amelia County,51007,2020-05-10,0.0
Amelia County,51007,2020-05-11,0.0
Amelia County,51007,2020-05-12,0.0
Amelia County,51007,2020-05-13,0.0
Amelia County,51007,2020-05-14,0.0
Amelia County,51007,2020-05-15,0.0
Amelia County,51007,2020-05-16,0.0
Amelia County,51007,2020-05-17,1.23
Amelia County,51007,2020-05-18,0.14
Amelia County,51007,2020-05-19,0.075
Amelia County,51007,2020-05-20,0.1
Amelia County,51007,2020-05-21,0.275
Amelia County,51007,2020-05-22,1.12
Amelia County,51007,2020-05-23,0.0
Amelia County,51007,2020-05-24,0.0
Amelia County,51007,2020-05-25,0.01
Amelia County,51007,2020-05-26,0.0
Amelia County,51007,2020-05-27,0.0
Amelia County,51007,2020-05-28,0.25
Amelia County,51007,2020-05-29,0.02
Amelia County,51007,2020-05-30,0.0
Amelia County,51007,2020-05-31,0.0
Amelia County,51007,2020-06-01,0.0
Amelia County,51007,2020-06-02,0.0
Amelia County,51007,2020-06-03,0.0
Amelia County,51007,2020-06-04,0.0
Amelia County,51007,2020-06-05,0.0
Amelia County,51007,2020-06-06,1.3850000000000002
Amelia County,51007,2020-06-07,0.0
Amelia County,51007,2020-06-08,0.0
Amelia County,51007,2020-06-09,0.0
Amelia County,51007,2020-06-10,0.0
Amelia County,51007,2020-06-11,0.035
Amelia County,51007,2020-06-12,0.295
Amelia County,51007,2020-06-13,0.0
Amelia County,51007,2020-06-14,0.0
Amelia County,51007,2020-06-15,0.01
Amelia County,51007,2020-06-16,0.18
Amelia County,51007,2020-06-17,0.98
Amelia County,51007,2020-06-18,0.2
Amelia County,51007,2020-06-19,0.025
Amelia County,51007,2020-06-20,0.7250000000000001
Amelia County,51007,2020-06-21,0.08
Amelia County,51007,2020-06-22,0.0
Amelia County,51007,2020-06-23,0.0
Amelia County,51007,2020-06-24,0.185
Amelia County,51007,2020-06-25,0.0
Amelia County,51007,2020-06-26,0.755
Amelia County,51007,2020-06-27,0.0
Amelia County,51007,2020-06-28,0.0
Amelia County,51007,2020-06-29,0.005
Amelia County,51007,2020-06-30,0.0
Amelia County,51007,2020-07-01,0.0
Amelia County,51007,2020-07-02,0.0
Amelia County,51007,2020-07-03,0.0
Amelia County,51007,2020-07-04,0.0
Amelia County,51007,2020-07-05,0.0
Amelia County,51007,2020-07-06,0.015
Amelia County,51007,2020-07-07,0.0
Amelia County,51007,2020-07-08,0.0
Amelia County,51007,2020-07-09,0.0
Amelia County,51007,2020-07-10,0.0
Amelia County,51007,2020-07-11,0.28500000000000003
Amelia County,51007,2020-07-12,0.0
Amelia County,51007,2020-07-13,0.08499999999999999
Amelia County,51007,2020-07-14,0.0
Amelia County,51007,2020-07-15,0.0
Amelia County,51007,2020-07-16,0.0
Amelia County,51007,2020-07-17,0.0
Amelia County,51007,2020-07-18,0.0
Amelia County,51007,2020-07-19,0.0
Amelia County,51007,2020-07-20,0.0
Amelia County,51007,2020-07-21,0.0
Amelia County,51007,2020-07-22,0.365
Amelia County,51007,2020-07-23,0.25
Amelia County,51007,2020-07-24,0.005
Amelia County,51007,2020-07-25,0.02
Amelia County,51007,2020-07-26,0.0
Amelia County,51007,2020-07-27,0.0
Amelia County,51007,2020-07-28,0.0
Amelia County,51007,2020-07-29,0.035
Amelia County,51007,2020-07-30,0.0
Amelia County,51007,2020-07-31,1.015
Amelia County,51007,2020-08-01,0.030000000000000002
Amelia County,51007,2020-08-02,0.04
