Locality,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".King William County, Virginia","15,935","15,927","15,999","16,014","15,977","16,092","16,149","16,282","16,405","16,684","16,919","17,148"
".Lancaster County, Virginia","11,391","11,390","11,362","11,275","11,125","10,959","10,861","10,825","10,771","10,725","10,696","10,603"
".Lee County, Virginia","25,587","25,589","25,605","25,544","25,428","25,080","24,724","24,595","24,165","23,900","23,656","23,423"
".Loudoun County, Virginia","312,311","312,348","315,478","326,327","337,847","349,915","362,206","374,014","385,546","397,049","405,522","413,538"
".Louisa County, Virginia","33,153","33,168","33,309","33,465","33,494","33,987","34,310","34,611","35,304","35,912","36,784","37,591"
".Lunenburg County, Virginia","12,914","12,916","12,910","12,911","12,638","12,532","12,482","12,348","12,319","12,333","12,215","12,196"
".Madison County, Virginia","13,308","13,306","13,300","13,141","13,132","13,090","13,030","13,047","13,081","13,212","13,248","13,261"
".Mathews County, Virginia","8,978","8,976","8,974","8,944","8,911","8,898","8,813","8,834","8,769","8,709","8,792","8,834"
".Mecklenburg County, Virginia","32,727","32,716","32,708","32,560","31,686","31,239","31,104","30,922","30,813","30,693","30,624","30,587"
".Middlesex County, Virginia","10,959","10,959","10,980","10,854","10,850","10,781","10,657","10,686","10,749","10,625","10,733","10,582"
".Montgomery County, Virginia","94,392","94,422","94,557","94,737","95,652","96,589","97,107","97,317","98,172","98,142","98,532","98,535"
".Nelson County, Virginia","15,020","15,015","14,978","15,020","14,802","14,800","14,863","14,760","14,805","14,800","14,862","14,930"
".New Kent County, Virginia","18,429","18,432","18,543","18,764","19,149","19,516","20,019","20,377","21,009","21,638","22,317","23,091"
".Northampton County, Virginia","12,389","12,391","12,409","12,408","12,212","12,030","12,038","12,080","12,002","11,872","11,761","11,710"
".Northumberland County, Virginia","12,330","12,331","12,355","12,451","12,422","12,298","12,256","12,241","12,176","12,271","12,168","12,095"
".Nottoway County, Virginia","15,853","15,853","15,840","15,894","15,756","15,637","15,511","15,606","15,495","15,432","15,400","15,232"
".Orange County, Virginia","33,481","33,554","33,578","33,994","34,275","34,620","34,923","35,178","35,354","35,870","36,598","37,051"
".Page County, Virginia","24,042","24,051","24,065","23,957","23,841","23,723","23,784","23,662","23,619","23,784","23,972","23,902"
".Patrick County, Virginia","18,490","18,500","18,470","18,335","18,333","18,249","18,175","17,960","17,796","17,713","17,663","17,608"
".Pittsylvania County, Virginia","63,506","63,469","63,586","63,262","62,895","62,554","62,371","62,010","61,704","61,309","60,901","60,354"
".Powhatan County, Virginia","28,046","28,069","28,125","28,129","28,178","28,300","28,496","28,056","28,443","28,716","29,210","29,652"
".Prince Edward County, Virginia","23,368","23,363","23,359","22,318","23,172","22,714","22,975","23,120","23,020","22,678","22,906","22,802"
".Prince George County, Virginia","35,725","35,715","35,642","36,716","37,123","37,333","37,415","38,246","37,972","38,006","37,993","38,353"
".Prince William County, Virginia","402,002","402,009","406,169","419,094","429,616","437,735","443,782","450,978","456,496","463,069","466,235","470,335"
".Pulaski County, Virginia","34,872","34,857","34,828","34,740","34,732","34,546","34,340","34,351","34,249","34,225","34,060","34,027"
".Rappahannock County, Virginia","7,373","7,506","7,500","7,476","7,409","7,428","7,336","7,400","7,380","7,393","7,345","7,370"
".Richmond County, Virginia","9,254","9,254","9,280","9,208","9,079","8,952","8,884","8,781","8,758","8,889","8,970","9,023"
".Roanoke County, Virginia","92,376","92,465","92,401","92,815","92,738","93,311","93,378","93,376","93,528","93,939","94,086","94,186"
".Rockbridge County, Virginia","22,307","22,355","22,346","22,445","22,378","22,328","22,432","22,396","22,450","22,668","22,761","22,573"
".Rockingham County, Virginia","76,314","76,321","76,408","76,861","77,137","77,419","77,878","78,445","79,367","80,397","81,261","81,948"
".Russell County, Virginia","28,897","28,923","28,878","28,683","28,427","28,336","28,077","27,854","27,422","27,046","26,795","26,586"
".Scott County, Virginia","23,177","23,168","23,128","23,053","22,954","22,768","22,519","22,296","22,082","21,893","21,672","21,566"
".Shenandoah County, Virginia","41,993","41,996","42,052","42,266","42,530","42,506","42,729","42,848","42,907","43,276","43,473","43,616"
".Smyth County, Virginia","32,208","32,213","32,198","32,047","31,896","31,772","31,573","31,419","31,126","30,731","30,454","30,104"
".Southampton County, Virginia","18,570","18,573","18,640","18,638","18,507","18,329","18,223","18,136","18,080","17,841","17,713","17,631"
