Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
10/12/2020,51117,Mecklenburg,Southside,835,45,34
10/12/2020,51685,Manassas Park,Prince William,626,56,8
10/12/2020,51720,Norton,Lenowisco,41,5,0
10/12/2020,51109,Louisa,Thomas Jefferson,342,31,7
10/12/2020,51810,Virginia Beach,Virginia Beach,7319,404,97
10/12/2020,51101,King William,Three Rivers,175,14,2
10/12/2020,51061,Fauquier,Rappahannock Rapidan,1013,50,25
10/12/2020,51067,Franklin County,West Piedmont,516,22,4
10/12/2020,51071,Giles,New River,101,3,0
10/12/2020,51630,Fredericksburg,Rappahannock,567,50,5
10/12/2020,51113,Madison,Rappahannock Rapidan,117,8,3
10/12/2020,51185,Tazewell,Cumberland Plateau,380,18,2
10/12/2020,51760,Richmond City,Richmond,4945,436,62
10/12/2020,51730,Petersburg,Crater,816,75,29
10/12/2020,51163,Rockbridge,Central Shenandoah,141,7,3
10/12/2020,51165,Rockingham,Central Shenandoah,1628,122,22
10/12/2020,51015,Augusta,Central Shenandoah,574,26,7
10/12/2020,51087,Henrico,Henrico,5782,462,221
10/12/2020,51640,Galax,Mount Rogers,427,41,30
10/12/2020,51069,Frederick,Lord Fairfax,1018,69,13
10/12/2020,51147,Prince Edward,Piedmont,673,34,12
10/12/2020,51059,Fairfax,Fairfax,22089,2195,599
10/12/2020,51750,Radford,New River,773,9,2
10/12/2020,51131,Northampton,Eastern Shore,311,49,31
10/12/2020,51051,Dickenson,Cumberland Plateau,109,8,1
10/12/2020,51179,Stafford,Rappahannock,2162,165,19
10/12/2020,51037,Charlotte,Piedmont,184,8,0
10/12/2020,51035,Carroll,Mount Rogers,525,48,25
10/12/2020,51073,Gloucester,Three Rivers,300,15,2
10/12/2020,51173,Smyth,Mount Rogers,575,51,22
10/12/2020,51683,Manassas City,Prince William,1993,130,24
10/12/2020,51097,King and Queen,Three Rivers,80,12,1
10/12/2020,51001,Accomack,Eastern Shore,1193,92,19
10/12/2020,51091,Highland,Central Shenandoah,9,0,0
10/12/2020,51620,Franklin City,Western Tidewater,455,20,10
10/12/2020,51115,Mathews,Three Rivers,113,8,0
10/12/2020,51678,Lexington,Central Shenandoah,173,3,1
10/12/2020,51193,Westmoreland,Three Rivers,288,25,4
10/12/2020,51191,Washington,Mount Rogers,735,72,21
10/12/2020,51700,Newport News,Peninsula,2923,111,49
10/12/2020,51027,Buchanan,Cumberland Plateau,204,13,2
10/12/2020,51149,Prince George,Crater,909,24,5
10/12/2020,51083,Halifax,Southside,418,14,7
10/12/2020,51036,Charles City,Chickahominy,88,22,5
10/12/2020,51017,Bath,Central Shenandoah,19,1,0
10/12/2020,51153,Prince William,Prince William,13166,944,213
10/12/2020,51093,Isle of Wight,Western Tidewater,806,37,21
10/12/2020,51019,Bedford,Central Virginia,948,44,15
10/12/2020,51159,Richmond County,Three Rivers,363,14,4
10/12/2020,51550,Chesapeake,Chesapeake,4594,446,76
10/12/2020,51690,Martinsville,West Piedmont,434,62,23
10/12/2020,51830,Williamsburg,Peninsula,204,13,8
10/12/2020,51099,King George,Rappahannock,254,23,4
10/12/2020,51079,Greene,Thomas Jefferson,252,12,3
10/12/2020,51095,James City,Peninsula,901,67,21
10/12/2020,51139,Page,Lord Fairfax,432,46,29
10/12/2020,51590,Danville,Pittsylvania-Danville,1052,99,38
10/12/2020,51133,Northumberland,Three Rivers,196,12,6
10/12/2020,51171,Shenandoah,Lord Fairfax,879,94,59
10/12/2020,51063,Floyd,New River,226,12,16
10/12/2020,51600,Fairfax City,Fairfax,144,13,8
10/12/2020,51005,Alleghany,Alleghany,83,8,4
10/12/2020,51580,Covington,Alleghany,33,1,0
10/12/2020,51540,Charlottesville,Thomas Jefferson,1466,33,30
10/12/2020,51057,Essex,Three Rivers,185,12,2
10/12/2020,51161,Roanoke County,Alleghany,1103,39,8
10/12/2020,51107,Loudoun,Loudoun,7259,449,128
10/12/2020,51041,Chesterfield,Chesterfield,6396,385,98
10/12/2020,51029,Buckingham,Piedmont,713,25,9
10/12/2020,51111,Lunenburg,Piedmont,132,7,3
10/12/2020,51610,Falls Church,Fairfax,74,13,7
10/12/2020,51053,Dinwiddie,Crater,442,40,11
10/12/2020,51077,Grayson,Mount Rogers,337,27,17
10/12/2020,51775,Salem,Alleghany,357,16,6
10/12/2020,51081,Greensville,Crater,832,37,11
10/12/2020,51660,Harrisonburg,Central Shenandoah,2847,96,35
10/12/2020,51790,Staunton,Central Shenandoah,325,13,0
10/12/2020,51520,Bristol,Mount Rogers,214,14,7
10/12/2020,51127,New Kent,Chickahominy,252,14,3
10/12/2020,51197,Wythe,Mount Rogers,283,26,6
10/12/2020,51175,Southampton,Western Tidewater,814,23,30
10/12/2020,51570,Colonial Heights,Chesterfield,273,29,26
10/12/2020,51155,Pulaski,New River,255,15,5
10/12/2020,51195,Wise,Lenowisco,488,35,9
10/12/2020,51043,Clarke,Lord Fairfax,109,12,1
10/12/2020,51137,Orange,Rappahannock Rapidan,356,24,5
10/12/2020,51710,Norfolk,Norfolk,5064,383,80
10/12/2020,51840,Winchester,Lord Fairfax,534,39,4
10/12/2020,51031,Campbell,Central Virginia,566,21,5
10/12/2020,51033,Caroline,Rappahannock,380,30,5
10/12/2020,51075,Goochland,Chickahominy,301,28,7
10/12/2020,51800,Suffolk,Western Tidewater,2199,127,77
10/12/2020,51121,Montgomery,New River,2366,27,5
10/12/2020,51530,Buena Vista City,Central Shenandoah,107,5,1
10/12/2020,51021,Bland,Mount Rogers,64,3,5
10/12/2020,51143,Pittsylvania,Pittsylvania-Danville,1155,67,11
10/12/2020,51013,Arlington,Arlington,4209,511,152
10/12/2020,51125,Nelson,Thomas Jefferson,117,5,2
10/12/2020,51595,Emporia,Crater,269,33,26
10/12/2020,51047,Culpeper,Rappahannock Rapidan,1251,94,18
10/12/2020,51065,Fluvanna,Thomas Jefferson,397,37,9
10/12/2020,51670,Hopewell,Crater,446,35,7
10/12/2020,51003,Albemarle,Thomas Jefferson,1437,84,22
10/12/2020,51157,Rappahannock,Rappahannock Rapidan,66,5,2
10/12/2020,51085,Hanover,Chickahominy,1453,109,40
10/12/2020,51011,Appomattox,Central Virginia,244,15,4
10/12/2020,51023,Botetourt,Alleghany,331,24,11
10/12/2020,51169,Scott,Lenowisco,223,20,4
10/12/2020,51145,Powhatan,Chesterfield,256,16,5
10/12/2020,51105,Lee,Lenowisco,331,28,8
10/12/2020,51510,Alexandria,Alexandria,4032,323,73
10/12/2020,51770,Roanoke City,Roanoke,2170,82,32
10/12/2020,51141,Patrick,West Piedmont,294,52,26
10/12/2020,51119,Middlesex,Three Rivers,134,8,11
10/13/2020,51001,Accomack,Eastern Shore,1193,92,19
10/13/2020,51003,Albemarle,Thomas Jefferson,1443,84,22
10/13/2020,51005,Alleghany,Alleghany,83,8,4
10/13/2020,51007,Amelia,Piedmont,132,14,5
10/13/2020,51009,Amherst,Central Virginia,487,17,4
10/13/2020,51011,Appomattox,Central Virginia,252,15,4
10/13/2020,51013,Arlington,Arlington,4228,513,152
10/13/2020,51015,Augusta,Central Shenandoah,576,26,8
10/13/2020,51017,Bath,Central Shenandoah,19,1,0
10/13/2020,51019,Bedford,Central Virginia,970,45,15
10/13/2020,51021,Bland,Mount Rogers,64,3,5
10/13/2020,51023,Botetourt,Alleghany,339,24,11
10/13/2020,51025,Brunswick,Southside,397,30,5
10/13/2020,51027,Buchanan,Cumberland Plateau,209,13,2
10/13/2020,51029,Buckingham,Piedmont,714,25,9
10/13/2020,51031,Campbell,Central Virginia,577,22,5
10/13/2020,51033,Caroline,Rappahannock,384,30,5
10/13/2020,51035,Carroll,Mount Rogers,534,48,25
10/13/2020,51036,Charles City,Chickahominy,88,22,5
10/13/2020,51037,Charlotte,Piedmont,186,8,0
10/13/2020,51041,Chesterfield,Chesterfield,6458,386,98
10/13/2020,51043,Clarke,Lord Fairfax,111,12,1
10/13/2020,51045,Craig,Alleghany,37,2,0
10/13/2020,51047,Culpeper,Rappahannock Rapidan,1254,94,18
10/13/2020,51049,Cumberland,Piedmont,110,8,2
10/13/2020,51051,Dickenson,Cumberland Plateau,111,8,1
10/13/2020,51053,Dinwiddie,Crater,456,40,12
10/13/2020,51057,Essex,Three Rivers,187,12,2
10/13/2020,51059,Fairfax,Fairfax,22185,2197,599
10/13/2020,51061,Fauquier,Rappahannock Rapidan,1020,51,25
10/13/2020,51063,Floyd,New River,227,13,16
10/13/2020,51065,Fluvanna,Thomas Jefferson,400,37,9
10/13/2020,51067,Franklin County,West Piedmont,552,22,4
10/13/2020,51069,Frederick,Lord Fairfax,1034,69,13
10/13/2020,51071,Giles,New River,101,3,0
10/13/2020,51073,Gloucester,Three Rivers,309,15,2
10/13/2020,51075,Goochland,Chickahominy,305,28,7
10/13/2020,51077,Grayson,Mount Rogers,344,27,17
10/13/2020,51079,Greene,Thomas Jefferson,255,12,3
10/13/2020,51081,Greensville,Crater,835,37,11
10/13/2020,51083,Halifax,Southside,421,14,7
10/13/2020,51085,Hanover,Chickahominy,1468,110,40
10/13/2020,51087,Henrico,Henrico,5801,462,221
10/13/2020,51089,Henry,West Piedmont,1194,130,29
10/13/2020,51091,Highland,Central Shenandoah,9,0,0
10/13/2020,51093,Isle of Wight,Western Tidewater,809,38,21
10/13/2020,51095,James City,Peninsula,903,67,21
10/13/2020,51097,King and Queen,Three Rivers,83,12,1
10/13/2020,51099,King George,Rappahannock,257,24,4
10/13/2020,51101,King William,Three Rivers,181,15,2
10/13/2020,51103,Lancaster,Three Rivers,170,8,0
10/13/2020,51105,Lee,Lenowisco,343,29,8
10/13/2020,51107,Loudoun,Loudoun,7303,451,128
10/13/2020,51109,Louisa,Thomas Jefferson,346,32,7
10/13/2020,51111,Lunenburg,Piedmont,132,7,3
10/13/2020,51113,Madison,Rappahannock Rapidan,117,8,3
10/13/2020,51115,Mathews,Three Rivers,121,8,0
10/13/2020,51117,Mecklenburg,Southside,837,45,34
10/13/2020,51119,Middlesex,Three Rivers,135,8,11
10/13/2020,51121,Montgomery,New River,2381,27,5
10/13/2020,51125,Nelson,Thomas Jefferson,119,5,2
10/13/2020,51127,New Kent,Chickahominy,253,14,3
10/13/2020,51131,Northampton,Eastern Shore,311,49,31
10/13/2020,51133,Northumberland,Three Rivers,204,12,6
10/13/2020,51135,Nottoway,Piedmont,306,44,20
10/13/2020,51137,Orange,Rappahannock Rapidan,358,24,5
10/13/2020,51139,Page,Lord Fairfax,439,47,29
10/13/2020,51141,Patrick,West Piedmont,295,52,26
10/13/2020,51143,Pittsylvania,Pittsylvania-Danville,1163,67,11
10/13/2020,51145,Powhatan,Chesterfield,266,16,5
10/13/2020,51147,Prince Edward,Piedmont,679,34,12
10/13/2020,51149,Prince George,Crater,961,24,5
10/13/2020,51153,Prince William,Prince William,13281,951,216
10/13/2020,51155,Pulaski,New River,255,15,5
10/13/2020,51157,Rappahannock,Rappahannock Rapidan,66,5,2
10/13/2020,51159,Richmond County,Three Rivers,368,14,4
10/13/2020,51161,Roanoke County,Alleghany,1155,41,8
10/13/2020,51163,Rockbridge,Central Shenandoah,143,7,3
10/13/2020,51165,Rockingham,Central Shenandoah,1640,122,22
10/13/2020,51167,Russell,Cumberland Plateau,355,31,7
10/13/2020,51169,Scott,Lenowisco,233,20,5
10/13/2020,51171,Shenandoah,Lord Fairfax,881,94,59
10/13/2020,51173,Smyth,Mount Rogers,578,51,22
10/13/2020,51175,Southampton,Western Tidewater,819,23,30
10/13/2020,51177,Spotsylvania,Rappahannock,2278,140,46
10/13/2020,51179,Stafford,Rappahannock,2174,166,19
10/13/2020,51181,Surry,Crater,134,10,3
